antecedent(s),consequent(s),antecedent frequency,antecedent support,consequent support,confidence,rule support,lift,confidence difference,confidence ratio,size antec.set,size conseq.set,rule ID
"Building Predictive Models, Intro to CHAID",Market Segmentation,38,0.10888252148997135,0.1489971346704871,0.4473684210526316,0.04871060171919771,3.0025303643724697,0.2983712863821445,0.6669475813247936,2,1,17
Market Segmentation,Intro to CHAID,52,0.1489971346704871,0.23782234957020057,0.5,0.07449856733524356,2.102409638554217,0.26217765042979946,0.5243553008595989,1,1,7
Market Segmentation,Building Predictive Models,52,0.1489971346704871,0.30659025787965616,0.5769230769230769,0.08595988538681948,1.8817397555715312,0.2703328190434207,0.4685768863419293,1,1,4
Time Series,Intro to Platform & Statistics,51,0.14613180515759314,0.24068767908309455,0.45098039215686264,0.0659025787965616,1.8737161531279174,0.2102927130737681,0.46630123333748585,1,1,13
Classification and Clustering,Intro to CHAID,45,0.1318051575931232,0.23782234957020057,0.4347826086956522,0.05730659025787966,1.8281822943949715,0.19696025912545165,0.4530085959885387,1,1,6
Time Series,Building Predictive Models,51,0.14613180515759314,0.30659025787965616,0.5490196078431373,0.08022922636103152,1.7907275059556536,0.24242934996348114,0.4415677445763406,1,1,5
Classification and Clustering,Building Predictive Models,45,0.1318051575931232,0.30659025787965616,0.5434782608695652,0.07163323782234957,1.7726533929297033,0.23688800298990903,0.43587392550143267,1,1,2
Tables,Intermediate Techniques,43,0.12320916905444126,0.3438395415472779,0.6046511627906976,0.07449856733524356,1.7585271317829458,0.2608116212434197,0.43134229667180957,1,1,10
"Building Predictive Models, Intro to CHAID",Intro to Platform & Statistics,38,0.10888252148997135,0.24068767908309455,0.42105263157894735,0.045845272206303724,1.74937343358396,0.1803649524958528,0.42836676217765046,2,1,16
Intro to Statistic platform,Intro to Statistics,143,0.40974212034383956,0.3008595988538682,0.46153846153846156,0.18911174785100288,1.5340659340659342,0.16067886268459336,0.3481375358166189,1,1,11
Intro to Statistics,Intro to Statistic platform,105,0.3008595988538682,0.40974212034383956,0.6285714285714286,0.18911174785100288,1.534065934065934,0.218829308227589,0.3481375358166189,1,1,12
FastTrack,Intro to Statistics,51,0.14613180515759314,0.3008595988538682,0.45098039215686264,0.0659025787965616,1.4989729225023338,0.15012079330299444,0.3328765416718573,1,1,9
Intro to CHAID,Building Predictive Models,83,0.23782234957020057,0.30659025787965616,0.45783132530120485,0.10888252148997135,1.4933003040198176,0.1512410674215487,0.33034233147338266,1,1,1
Tables,Intro to Statistics,43,0.12320916905444126,0.3008595988538682,0.4186046511627907,0.05157593123209169,1.391362126245847,0.11774505230892252,0.28127984718242605,1,1,15
Market Segmentation,Intro to Statistics,52,0.1489971346704871,0.3008595988538682,0.4038461538461538,0.06017191977077364,1.3423076923076922,0.1029865549922856,0.2550143266475644,1,1,14
Intro to Platform & Statistics,Building Predictive Models,84,0.24068767908309455,0.30659025787965616,0.40476190476190477,0.09742120343839542,1.320204717400979,0.09817164688224861,0.2425417158267319,1,1,3
FastTrack,Intermediate Techniques,51,0.14613180515759314,0.3438395415472779,0.45098039215686264,0.0659025787965616,1.3116013071895423,0.10714085060958473,0.23757319048212266,1,1,8
