TICKET,Decision Trees,Building Predictive Models,Intro to CHAID,Classification and Clustering,Data Entry,FastTrack,Intermediate Techniques,Intro to Statistic platform,Intro to Platform & Statistics,Maps,Perceptual Mapping,Market Segmentation,Neural Networks,Scripting,Intro to Statistics,Tables,Time Series,ANOVA models,Rule prediction,Rule confidence,Rule ID
2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Intro to CHAID,0.533,101
32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
36,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,Building Predictive Models,0.857,427
44,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,
59,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
61,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
76,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Intro to CHAID,0.500,5
83,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Building Predictive Models,0.889,346
85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Building Predictive Models,0.727,3
110,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Time Series,0.571,85
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Building Predictive Models,0.615,86
119,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
126,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,Intro to Statistics,0.875,628
130,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Intro to CHAID,0.750,112
131,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
132,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
133,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
134,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
138,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
144,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Intro to CHAID,0.857,21
165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Building Predictive Models,0.688,47
168,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Intro to Platform & Statistics,0.500,100
174,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,Market Segmentation,0.714,301
199,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Time Series,0.500,75
200,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,
203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
206,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Market Segmentation,0.833,23
225,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Time Series,0.500,651
228,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Intro to Statistics,0.636,159
260,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
271,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
274,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Building Predictive Models,0.667,55
275,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,
276,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
277,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
278,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Building Predictive Models,0.640,41
