antecedent(s),consequent(s),antecedent frequency,antecedent support,consequent support,confidence,rule support,lift,confidence difference,confidence ratio,size antec.set,size conseq.set,rule ID
"Building Predictive Models, Intro to CHAID",Market Segmentation,38,0.10888252148997135,0.1489971346704871,0.4473684210526316,0.04871060171919771,3.0025303643724697,0.2983712863821445,0.6669475813247936,2,1,31
"Building Predictive Models, Intro to CHAID",Classification and Clustering,38,0.10888252148997135,0.1318051575931232,0.34210526315789475,0.03724928366762178,2.5955377574370715,0.21030010556477155,0.6147233854970244,2,1,29
Classification and Clustering,Market Segmentation,45,0.1318051575931232,0.1489971346704871,0.32608695652173914,0.04297994269340974,2.188545150501672,0.17708982185125202,0.5430754536771729,1,1,16
Intro to CHAID,Market Segmentation,83,0.23782234957020057,0.1489971346704871,0.3132530120481928,0.07449856733524356,2.102409638554217,0.16425587737770567,0.5243553008595989,1,1,13
Market Segmentation,Intro to CHAID,52,0.1489971346704871,0.23782234957020057,0.5,0.07449856733524356,2.102409638554217,0.26217765042979946,0.5243553008595989,1,1,12
Market Segmentation,Building Predictive Models,52,0.1489971346704871,0.30659025787965616,0.5769230769230769,0.08595988538681948,1.8817397555715312,0.2703328190434207,0.4685768863419293,1,1,7
Time Series,Intro to Platform & Statistics,51,0.14613180515759314,0.24068767908309455,0.45098039215686264,0.0659025787965616,1.8737161531279174,0.2102927130737681,0.46630123333748585,1,1,26
Classification and Clustering,Intro to CHAID,45,0.1318051575931232,0.23782234957020057,0.4347826086956522,0.05730659025787966,1.8281822943949715,0.19696025912545165,0.4530085959885387,1,1,10
Time Series,Building Predictive Models,51,0.14613180515759314,0.30659025787965616,0.5490196078431373,0.08022922636103152,1.7907275059556536,0.24242934996348114,0.4415677445763406,1,1,9
Classification and Clustering,Building Predictive Models,45,0.1318051575931232,0.30659025787965616,0.5434782608695652,0.07163323782234957,1.7726533929297033,0.23688800298990903,0.43587392550143267,1,1,3
Tables,Intermediate Techniques,43,0.12320916905444126,0.3438395415472779,0.6046511627906976,0.07449856733524356,1.7585271317829458,0.2608116212434197,0.43134229667180957,1,1,21
"Building Predictive Models, Intro to CHAID",Intro to Platform & Statistics,38,0.10888252148997135,0.24068767908309455,0.42105263157894735,0.045845272206303724,1.74937343358396,0.1803649524958528,0.42836676217765046,2,1,30
Classification and Clustering,Intro to Platform & Statistics,45,0.1318051575931232,0.24068767908309455,0.39130434782608703,0.05157593123209169,1.6257763975155284,0.15061666874299248,0.3849092645654252,1,1,15
Maps,Intro to Platform & Statistics,45,0.12893982808022922,0.24068767908309455,0.3777777777777778,0.04871060171919771,1.5695767195767198,0.13709009869468328,0.36288555536827927,1,1,24
Intro to Statistic platform,Intro to Statistics,143,0.40974212034383956,0.3008595988538682,0.46153846153846156,0.18911174785100288,1.5340659340659342,0.16067886268459336,0.3481375358166189,1,1,23
Intro to Statistics,Intro to Statistic platform,105,0.3008595988538682,0.40974212034383956,0.6285714285714286,0.18911174785100288,1.534065934065934,0.218829308227589,0.3481375358166189,1,1,22
